iter	Passed	Remaining
0	47	47443
1	48	24238
2	49	16527
3	50	12685
4	52	10379
5	53	8834
6	54	7745
7	56	6965
8	57	6332
9	58	5816
10	60	5420
11	61	5095
12	63	4792
13	64	4549
14	65	4322
15	66	4119
16	68	3936
17	69	3780
18	70	3640
19	71	3511
20	72	3391
21	73	3284
22	75	3195
23	76	3110
24	77	3029
25	78	2951
26	79	2879
27	81	2816
28	82	2755
29	83	2696
30	84	2641
31	85	2590
32	86	2540
33	87	2496
34	89	2454
35	90	2412
36	91	2373
37	92	2333
38	93	2297
39	94	2264
40	95	2233
41	96	2202
42	97	2168
43	98	2136
44	99	2104
45	100	2075
46	100	2046
47	101	2017
48	102	1987
49	103	1960
50	104	1936
51	105	1915
52	105	1891
53	106	1869
54	107	1851
55	108	1829
56	109	1806
57	109	1784
58	110	1764
59	111	1743
60	111	1723
61	112	1703
62	113	1683
63	113	1664
64	114	1645
65	115	1627
66	115	1609
67	115	1587
68	116	1570
69	116	1553
70	117	1536
71	117	1519
72	118	1503
73	118	1487
74	119	1472
75	119	1457
76	120	1442
77	120	1428
78	121	1413
79	121	1399
80	122	1385
81	122	1371
82	122	1358
83	123	1344
84	123	1330
85	123	1317
86	124	1303
87	124	1291
88	124	1279
89	125	1267
90	125	1255
91	126	1244
92	126	1232
93	126	1221
94	127	1210
95	127	1200
96	127	1189
97	128	1178
98	128	1168
99	128	1158
100	129	1148
101	129	1137
102	129	1127
103	129	1118
104	130	1108
105	130	1099
106	130	1090
107	130	1081
108	131	1072
109	131	1063
110	131	1054
111	131	1046
112	132	1038
113	132	1029
114	132	1021
115	132	1013
116	133	1005
117	133	998
118	133	990
119	134	982
120	134	975
121	134	968
122	134	959
123	134	952
124	135	945
125	135	938
126	135	931
127	135	924
128	135	918
129	136	911
130	136	905
131	136	898
132	136	892
133	137	886
134	137	879
135	137	873
136	137	867
137	137	861
138	138	855
139	138	849
140	138	844
141	138	838
142	138	832
143	139	827
144	139	821
145	139	816
146	139	811
147	140	805
148	140	800
149	140	795
150	140	790
151	140	785
152	140	780
153	141	775
154	141	770
155	141	765
156	141	760
157	141	756
158	142	751
159	142	746
160	142	742
161	142	737
162	142	733
163	142	728
164	143	724
165	143	720
166	143	715
167	143	711
168	143	707
169	144	703
170	144	699
171	144	695
172	144	691
173	144	687
174	144	683
175	145	679
176	145	675
177	145	672
178	145	668
179	145	664
180	146	660
181	146	657
182	146	653
183	146	649
184	146	646
185	146	642
186	147	639
187	147	635
188	147	632
189	147	629
190	147	625
191	147	622
192	148	619
193	148	616
194	148	612
195	148	609
196	148	607
197	149	604
198	149	601
199	149	597
200	149	594
201	149	591
202	150	589
203	150	586
204	150	583
205	150	580
206	150	577
207	150	574
208	151	571
209	151	569
210	151	566
211	151	563
212	151	560
213	152	558
214	152	555
215	152	553
216	152	550
217	152	547
218	152	545
219	153	542
220	153	540
221	153	537
222	153	535
223	153	533
224	154	530
225	154	528
226	154	525
227	154	523
228	154	520
229	154	518
230	155	516
231	155	513
232	155	511
233	155	509
234	155	507
235	155	504
236	156	502
237	156	500
238	156	498
239	156	496
240	156	493
241	157	491
242	157	489
243	157	487
244	157	485
245	157	483
246	157	481
247	158	479
248	158	477
249	158	475
250	158	473
251	158	471
252	158	469
253	159	467
254	159	465
255	159	463
256	159	461
257	159	459
258	160	457
259	160	456
260	160	454
261	160	452
262	160	450
263	160	448
264	161	446
265	161	444
266	161	443
267	161	441
268	161	439
269	161	437
270	162	436
271	162	434
272	162	432
273	162	431
274	162	429
275	163	427
276	163	426
277	163	424
278	163	422
279	163	421
280	163	419
281	164	417
282	164	416
283	164	414
284	164	413
285	164	411
286	165	410
287	165	408
288	165	406
289	165	405
290	165	403
291	165	402
292	166	400
293	166	400
294	166	398
295	167	397
296	167	395
297	167	394
298	167	392
299	167	391
300	167	390
301	168	388
302	168	387
303	168	385
304	168	384
305	168	383
306	169	381
307	169	380
308	169	378
309	169	377
310	169	376
311	170	374
312	170	373
313	170	372
314	170	370
315	170	369
316	170	368
317	171	366
318	171	365
319	171	364
320	171	362
321	171	361
322	171	360
323	172	359
324	172	357
325	172	356
326	172	355
327	172	354
328	173	352
329	173	351
330	173	350
331	173	349
332	173	347
333	173	346
334	174	345
335	174	344
336	174	343
