iter	Passed	Remaining
0	47	47518
1	48	24294
2	49	16603
3	51	12764
4	52	10465
5	53	8917
6	55	7812
7	56	6963
8	57	6307
9	58	5776
10	59	5347
11	60	5000
12	61	4693
13	62	4427
14	64	4203
15	65	4006
16	66	3832
17	67	3695
18	69	3574
19	70	3452
20	71	3348
21	73	3250
22	74	3162
23	75	3083
24	76	3002
25	78	2928
26	79	2860
27	80	2804
28	82	2750
29	83	2708
30	85	2664
31	86	2616
32	87	2568
33	88	2525
34	89	2480
35	91	2447
36	92	2396
37	92	2340
38	93	2307
39	94	2273
40	95	2242
41	96	2208
42	97	2176
43	98	2146
44	99	2117
45	100	2087
46	101	2059
47	102	2031
48	103	2004
49	104	1977
50	104	1952
51	105	1927
52	106	1902
53	107	1881
54	108	1858
55	108	1837
56	109	1814
57	110	1797
58	111	1776
59	112	1757
60	112	1738
61	113	1718
62	114	1698
63	114	1679
64	115	1661
65	116	1642
66	116	1624
67	117	1606
68	117	1589
69	118	1572
70	118	1556
71	119	1539
72	119	1522
73	120	1507
74	120	1491
75	121	1477
76	121	1461
77	122	1447
78	122	1432
79	123	1418
80	123	1404
81	124	1390
82	124	1375
83	124	1362
84	125	1349
85	125	1336
86	126	1323
87	126	1311
88	126	1298
89	127	1287
90	127	1275
91	128	1263
92	128	1251
93	128	1240
94	129	1229
95	129	1217
96	129	1207
97	129	1196
98	130	1185
99	130	1174
100	130	1164
101	131	1154
102	131	1144
103	131	1134
104	131	1124
105	132	1114
106	132	1105
107	132	1096
108	132	1086
109	133	1077
110	133	1068
111	133	1059
112	133	1051
113	134	1042
114	134	1034
115	134	1025
116	134	1017
117	135	1009
118	135	1001
119	135	993
120	135	985
121	135	977
122	136	970
123	136	963
124	136	955
125	136	948
126	136	940
127	137	933
128	137	927
129	137	920
130	137	913
131	137	906
132	138	900
133	138	893
134	138	887
135	138	880
136	138	874
137	139	868
138	139	862
139	139	856
140	139	850
141	139	844
142	139	838
143	140	832
144	140	827
145	140	821
146	140	816
147	140	811
148	141	805
149	141	800
150	141	795
151	141	790
152	141	785
153	142	780
154	142	775
155	142	770
156	142	765
157	142	760
158	142	755
159	143	751
160	143	746
161	143	741
162	143	737
163	143	732
164	143	728
165	144	724
166	144	719
167	144	715
168	144	711
169	144	707
170	145	703
171	145	699
172	145	695
173	145	691
174	145	687
175	145	683
176	146	679
177	146	675
178	146	672
179	146	668
180	146	664
181	147	661
182	147	657
183	147	653
184	147	650
185	147	646
186	147	643
187	148	639
188	148	636
189	148	632
190	148	629
191	148	626
192	149	623
193	149	619
194	149	616
195	149	613
196	149	610
197	150	607
198	150	604
199	150	601
200	150	598
201	150	595
202	151	593
203	151	590
204	151	587
205	151	584
206	151	581
207	152	579
208	152	576
209	152	573
210	152	570
211	152	568
212	153	565
213	153	562
214	153	560
215	153	557
216	153	555
217	154	552
218	154	549
219	154	547
220	154	544
221	154	542
222	154	539
223	155	537
224	155	535
225	155	532
226	155	530
227	155	527
228	156	525
229	156	523
230	156	520
231	156	518
232	156	516
233	157	514
234	157	512
235	157	509
236	157	507
237	157	505
238	158	503
239	158	501
240	158	499
241	158	497
242	158	494
243	159	492
244	159	490
245	159	488
246	159	486
247	159	484
248	160	482
249	160	480
250	160	478
251	160	476
252	160	474
253	160	472
254	161	470
255	161	469
256	161	467
257	161	465
258	162	463
259	162	461
260	162	459
261	162	457
262	162	456
263	162	454
264	163	452
265	163	450
266	163	448
267	163	447
268	163	445
269	164	443
270	164	441
271	164	439
272	164	438
273	164	436
274	164	434
275	165	433
276	165	431
277	165	429
278	165	428
279	165	426
280	166	424
281	166	423
282	166	421
283	166	419
284	166	418
285	166	416
286	167	415
287	167	413
288	167	411
289	167	410
290	167	408
291	167	407
292	168	405
293	168	404
294	168	402
295	168	401
296	168	399
297	169	398
298	169	396
299	169	395
300	169	394
301	169	392
302	170	391
303	170	389
304	170	388
305	170	386
306	170	385
307	170	384
308	171	382
309	171	381
310	171	380
311	171	378
312	171	377
313	172	376
314	172	374
315	172	373
316	172	372
317	172	370
318	173	369
319	173	368
320	173	366
321	173	365
322	173	364
323	174	363
324	174	361
325	174	360
326	174	359
327	174	358
328	174	356
329	175	355
330	175	354
331	175	353
332	175	351
333	175	350
334	176	349
335	176	348
336	176	347
337	176	345
338	176	344
339	176	343
340	177	342
341	177	341
342	177	340
343	177	338
344	177	337
345	178	336
346	178	335
347	178	334
348	178	333
